Model,MAE,MSE,R2
LinearRegression,82657.94605893594,10549721686.16417,0.9146454505137673
RobustRegression,199465.55955429282,61664910393.2493,0.5010881990728193
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,83413.36425430345,10664698513.582516,0.9137152084090377
SGDRegressor,1.1747242160744114e+17,1.4377579857368833e+34,-1.1632457120053669e+23
ANN,199308.14881601877,61463713952.54233,0.5027160175182385
RandomForest,98264.7278582601,14915570572.205788,0.8793227115943347
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
